source_url_or_reference,source_title,source_author_or_org,source_year,source_access_date,source_validation_status,rule_count,rule_ids,distinct_locators,reliability_labels
https://www.gq-magazine.co.uk/article/black-tie-guide,Black tie dress code explained,British GQ,2024,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,2,K042|K093,1,medium
https://www.gq-magazine.co.uk/article/how-to-dress-smart-casual,"A full, BS-free breakdown of how to do smart-casual",British GQ,2023,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,1,K058,1,medium
https://www.gq-magazine.co.uk/article/how-to-wear-jeans-and-trainers,Guys can still get jeans and trainers wrong. Here's how to get it right,British GQ,2025,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,4,K007|K086|K132|K175,1,medium
https://www.gq-magazine.co.uk/article/how-to-wear-loafers,How to wear loafers and look like a grownup,British GQ,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,3,K038|K046|K068,1,medium
https://www.gq.com/story/business-casual-attire-for-men-explained,What Is Business Casual? The GQ Guide to Dressing for Work and Beyond,GQ,2025,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,7,K010|K017|K024|K043|K149|K151|K212,1,medium
https://www.gq.com/story/how-to-pull-off-a-blazer-and-jeans,How to Pull Off a Blazer With Jeans in 2026,GQ,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,5,K028|K051|K059|K153|K174,1,medium
https://www.gq.com/story/how-your-hoodie-and-bomber-jacket-should-look,Here's How Your Hoodie and Bomber Jacket Should Look,GQ,2017,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,1,K150,1,medium
https://www.gq.com/story/ultimate-wardrobe-spring-summer-edition,How to Build the Perfect Warm-Weather Wardrobe,GQ,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,6,K005|K065|K088|K123|K176|K204,1,medium
https://www.masterclass.com/articles/how-to-match-clothes-using-the-color-wheel,How to Match Clothes Using the Color Wheel,MasterClass,2021,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,2,K013|K034,1,medium
https://www.vogue.co.uk/article/baggy-trousers-blazer-spring-outfit,Baggy Trousers And A Blazer Is Spring's Easiest Outfit Formula,British Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,1,K062,1,medium
https://www.vogue.co.uk/article/black-tie-dress-code,The Vogue Guide To A Black-Tie Dress Code,British Vogue,2025,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,4,K020|K027|K143|K152,1,medium
https://www.vogue.co.uk/article/how-to-style-a-suit,How To Style A Suit In 2024 According To The Street-Style Set,British Vogue,2024,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,7,K025|K077|K078|K083|K087|K165|K168,1,medium
https://www.vogue.co.uk/article/how-to-style-trousers-for-autumn,How Vogue's Shopping Editor Is Styling Trousers For Autumn,British Vogue,2024,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,8,K006|K012|K066|K072|K128|K147|K156|K162,1,medium
https://www.vogue.com/article/celebrity-button-up-shirt-outfits,"10 Button-Up Shirt Outfits, Inspired by Celebs",Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,2,K141|K160,1,medium
https://www.vogue.com/article/cigarette-jeans-and-90s-boots-are-a-winning-combo-for-spring,Cigarette Jeans and ’90s Boots Are a Winning Combo for Spring,Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,1,K145,1,medium
https://www.vogue.com/article/editors-summer-work-bags,The Summer Work Bags Vogue Editors Use Everyday,Vogue,2025,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,14,K031|K079|K084|K089|K094|K099|K158|K186|K194|K195|K198|K199|K202|K203,1,medium
https://www.vogue.com/article/heeled-sandal-outfits,11 Heeled Sandal Outfits Perfect for Spring and Summer,Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,6,K011|K019|K092|K144|K180|K211,1,medium
https://www.vogue.com/article/how-to-style-a-button-up-shirt,How to Style a Button-Up Shirt This Summer–7 Foolproof Outfit Ideas,Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,2,K125|K134,1,medium
https://www.vogue.com/article/how-to-style-knee-high-boots,How to Style Knee-High Boots—7 Fall-Ready Outfit Ideas,Vogue,2025,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,1,K178,1,medium
https://www.vogue.com/article/how-to-style-low-heel-pumps,How to Style Low-Heel Pumps for Spring 2026,Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,11,K039|K048|K056|K069|K075|K102|K103|K131|K138|K182|K197,1,medium
https://www.vogue.com/article/how-to-style-wide-leg-jeans-street-style,"How to Style Wide-Leg Jeans, According to the Street-Style Set",Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,3,K133|K154|K170,1,medium
https://www.vogue.com/article/how-to-style-wide-leg-trousers,Wide-Leg Trousers Are a Vogue Office Favorite—7 Street Style-Approved Ways to Wear Them,Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,8,K002|K036|K054|K127|K146|K161|K205|K206,2,medium
https://www.vogue.com/article/jessica-chastain-louis-vuitton-capucines-bag-celebrity-street-style,How to Wear Head-to-Toe Black? Jessica Chastain Proves It's All About the Statement Bag,Vogue,2017,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,3,K119|K120|K124,1,medium
https://www.vogue.com/article/katie-holmes-makes-the-crop-top-wearable,Katie Holmes Makes the Crop Top Wearable,Vogue,2022,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,1,K135,1,medium
https://www.vogue.com/article/shoes-to-wear-with-jeans,What Shoes Go With Those Jeans? This Shopping Guide Will Help You Decide,Vogue,2022,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,1,K137,1,medium
https://www.vogue.com/article/spring-2026-handbag-trends,The Summer 2026 Handbag Trends Defining the Season,Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,5,K157|K159|K185|K189|K193,1,medium
https://www.vogue.com/article/summer-handbag-outfits,10 Chic Ways to Style Summer's Hero Handbags,Vogue,2023,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,7,K030|K071|K085|K105|K111|K115|K191,1,medium
https://www.vogue.com/article/summer-sneaker-outfits,9 Summer Sneaker Outfits to Wear All Season Long,Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,6,K014|K067|K073|K148|K179|K183,1,medium
https://www.vogue.com/article/t-shirt-outfits,The Best T-Shirt and Trouser Pairings for This Season’s Most Laidback Trend,Vogue,2021,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,4,K008|K015|K022|K142,1,medium
https://www.vogue.com/article/the-vogue-guide-to-formal-attire,The Vogue Guide to Formal Attire,Vogue,2025,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,7,K033|K098|K106|K107|K109|K188|K207,1,medium
https://www.vogue.com/article/vogue-wardrobe-essentials-guide,The Wardrobe Essentials We’re Wearing in 2026,Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,16,K001|K018|K021|K026|K044|K052|K076|K081|K100|K122|K166|K167|K169|K172|K201|K209,1,medium
https://www.vogue.com/article/wedge-sandal-outfits,How to Style the Wedge Sandal—10 Outfits to Recreate Now,Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,4,K041|K049|K057|K097,1,medium
https://www.vogue.com/outfit-formulas,Outfit Formulas,Vogue,2026,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,21,K003|K032|K037|K045|K053|K055|K063|K080|K082|K090|K095|K101|K121|K136|K155|K164|K187|K190|K192|K196|K200,1,medium
