source_url_or_reference,source_title,source_author_or_org,audit_date,reachability,metadata_action,audit_note
https://www.gq-magazine.co.uk/article/black-tie-guide,Black tie dress code explained,British GQ,2026-09-23,reachable_via_at_least_one_audit_method,frozen_metadata_preserved,Live page checked; mutable web content may differ from the frozen title or year.
https://www.gq-magazine.co.uk/article/how-to-dress-smart-casual,"A full, BS-free breakdown of how to do smart-casual",British GQ,2026-09-23,reachable_via_at_least_one_audit_method,frozen_metadata_preserved,Live page checked; mutable web content may differ from the frozen title or year.
https://www.gq-magazine.co.uk/article/how-to-wear-jeans-and-trainers,Guys can still get jeans and trainers wrong. Here's how to get it right,British GQ,2026-09-23,reachable_via_at_least_one_audit_method,frozen_metadata_preserved,Live page checked; mutable web content may differ from the frozen title or year.
https://www.gq-magazine.co.uk/article/how-to-wear-loafers,How to wear loafers and look like a grownup,British GQ,2026-09-23,reachable_via_at_least_one_audit_method,frozen_metadata_preserved,Live page checked; mutable web content may differ from the frozen title or year.
https://www.gq.com/story/business-casual-attire-for-men-explained,What Is Business Casual? The GQ Guide to Dressing for Work and Beyond,GQ,2026-09-23,reachable_via_at_least_one_audit_method,frozen_metadata_preserved,Live page checked; mutable web content may differ from the frozen title or year.
https://www.gq.com/story/how-to-pull-off-a-blazer-and-jeans,How to Pull Off a Blazer With Jeans in 2026,GQ,2026-09-23,reachable_via_at_least_one_audit_method,frozen_metadata_preserved,Live page checked; mutable web content may differ from the frozen title or year.
https://www.gq.com/story/how-your-hoodie-and-bomber-jacket-should-look,Here's How Your Hoodie and Bomber Jacket Should Look,GQ,2026-09-23,reachable_via_at_least_one_audit_method,frozen_metadata_preserved,Live page checked; mutable web content may differ from the frozen title or year.
https://www.gq.com/story/ultimate-wardrobe-spring-summer-edition,How to Build the Perfect Warm-Weather Wardrobe,GQ,2026-09-23,reachable_via_at_least_one_audit_method,frozen_metadata_preserved,Live page checked; mutable web content may differ from the frozen title or year.
https://www.masterclass.com/articles/how-to-match-clothes-using-the-color-wheel,How to Match Clothes Using the Color Wheel,MasterClass,2026-09-23,reachable_via_at_least_one_audit_method,frozen_metadata_preserved,Live page checked; mutable web content may differ from the frozen title or year.
https://www.vogue.co.uk/article/baggy-trousers-blazer-spring-outfit,Baggy Trousers And A Blazer Is Spring's Easiest Outfit Formula,British Vogue,2026-09-23,reachable_via_at_least_one_audit_method,frozen_metadata_preserved,Live page checked; mutable web content may differ from the frozen title or year.
